"월별(1)",2020,2020,2021,2021,2022,2022
"월별(1)",기온 (℃),상대습도 (%),기온 (℃),상대습도 (%),기온 (℃),상대습도 (%)
"월별(1)",평균,평균,평균,평균,평균,평균
"연간",12.9,76.0,13.4,72.0,12.8,69.0
"1월",1.6,78.0,-2.4,67.0,-2.2,59.0
"2월",2.4,81.0,2.2,64.0,-1.1,58.0
"3월",7.1,71.0,8.1,72.0,7.1,68.0
"4월",10.5,69.0,13.5,62.0,13.5,61.0
"5월",17.6,79.0,16.5,77.0,18.1,60.0
"6월",23.0,77.0,22.5,78.0,23.1,69.0
"7월",23.8,83.0,27.7,77.0,27.1,79.0
"8월",26.7,89.0,25.7,81.0,25.5,85.0
"9월",21.1,79.0,22.6,75.0,22.1,72.0
"10월",13.8,70.0,15.6,72.0,14.3,71.0
"11월",7.7,70.0,7.9,74.0,9.5,69.0
"12월",-0.4,65.0,0.7,65.0,-3.9,71.0
